"Name","Row","Action"
"Malia","259","Delete"
"Maliyah","463","Delete"
"Mallory","568","Delete"
"Malva","1597","Delete"
"Mara","627","Delete"
"Marceline","973","Delete"
"Marcelle","1657","Delete"
"Margaret","126","Delete"
"Margaux","1658","Delete"
"Margot","234","Delete"
"Maria","1066","Delete"
"Maria","109","Delete"
"Mariam","632","Delete"
"Mariana","276","Delete"
"Marianna","832","Delete"
"Marianna","1902","Delete"
"Marianne","1659","Delete"
"Maricela","1252","Delete"
"Marie","619","Delete"
"Marie-Rose","2000","Delete"
"Marietta","1903","Delete"
"Marigold","1340","Delete"
"Marilena","1904","Delete"
"Marilla","1324","Delete"
"Marilyn","1343","Delete"
"Marilyn","636","Delete"
"Marion","2003","Delete"
"Marise","2004","Delete"
"Marisol","1225","Delete"
"Marisol","974","Delete"
"Marlee","430","Delete"
"Marleigh","722","Delete"
"Marléne","2005","Delete"
"Marley","211","Delete"
"Marlowe","921","Delete"
"Martha","772","Delete"
"Martha","1906","Delete"
"Marthe","2006","Delete"
"Mary","124","Delete"
"Maryam","503","Delete"
"Maryléne","2008","Delete"
"Maryvonne","2010","Delete"
"Matilda","478","Delete"
"Maude","2011","Delete"
"Maxine","737","Delete"
"mazaya","1121","Delete"
"Mazikeen","998","Delete"
"Mckenna","272","Delete"
"Mckenzie","278","Delete"
"Meadow","476","Delete"
"Megan","638","Delete"
"Mégane","2012","Delete"
"Meghan","878","Delete"
"Meilani","886","Delete"
"Mélanie","2013","Delete"
"Melina","1907","Delete"
"Melina","648","Delete"
"Melissa","348","Delete"
"Mélodie","2015","Delete"
"Melpomeni","1908","Delete"
"melvy","1123","Delete"
"Mercy","814","Delete"
"Mercy","1356","Delete"
"Mia / Maya","1177","Delete"
"Micaela","1268","Delete"
"Michaela","1909","Delete"
"Micheline","2016","Delete"
"Michelle","336","Delete"
"Midge","1993","Delete"
"miftya","1124","Delete"
"Mikaela","757","Delete"
"Mikayla","543","Delete"
"Mila","1212","Delete"
"Milan","642","Delete"
"Milana","698","Delete"
"Milena","821","Delete"
"Miley","740","Delete"
"Millie","190","Delete"
"Mina","1423","Delete"
"Mira","485","Delete"
"Mirabelle","2018","Delete"
"Miracle","388","Delete"
"Miranda","542","Delete"
"Miranda","1238","Delete"
"Mistletoe","1994","Delete"
"Modestine","2019","Delete"
"Monica","703","Delete"
"Monroe","539","Delete"
"Morgane","2020","Delete"
"Muffy/Muffin","1995","Delete"
"munira","1126","Delete"
"Mya","242","Delete"
"Myla","277","Delete"
"Myra","1287","Delete"
"Nabila","2082","Delete"
"Nadia","2080","Delete"
"Nadia","468","Delete"
"nadin","1127","Delete"
"Nadine","1713","Delete"
"Nadine","2021","Delete"
"Nadira","1740","Delete"
"Naenia","2099","Delete"
"nahrani","1128","Delete"
"Nainsí","1969","Delete"
"Nala","2083","Delete"
"Nala","693","Delete"
"Nalani","593","Delete"
"Nalani","1952","Delete"
"Nan","1978","Delete"
"Nanako","1974","Delete"
"Nancy","893","Delete"
"Nannie","2076","Delete"
"Naomi","1716","Delete"
"Naomie","2022","Delete"
"Narcissa","1719","Delete"
"Narcisse","1875","Delete"
"Nasrin","2091","Delete"
"Natalia","1067","Delete"
"Natalia","84","Delete"
"Natalia","1910","Delete"
"Natalie","51","Delete"
"Natalina","1733","Delete"
"Nataly","941","Delete"
"Natasha","2078","Delete"
"Natasha","950","Delete"
"Nathalie","914","Delete"
"Nattie","1956","Delete"
"Navy","658","Delete"
"Navy","1720","Delete"
"Naya","758","Delete"
"nayleen","1129","Delete"
"nazura","1130","Delete"
"Nefeli","1912","Delete"
"Nefertari","1976","Delete"
"Nektaria","1913","Delete"
"Nelda","2097","Delete"
"Nelina","1955","Delete"
"Nellie","837","Delete"
"Nemes","1961","Delete"
"Nephthys","1726","Delete"
"Neppie","1975","Delete"
"Nereida","1722","Delete"
"Nerissa","1968","Delete"
"Nestani","2085","Delete"
"Nevada","1721","Delete"
"Nevaeh","83","Delete"
"Nia","494","Delete"
"Nicole","266","Delete"
"Nicolette","1876","Delete"
"Nicoline","1972","Delete"
"Nieve","1973","Delete"
"Niki","2081","Delete"
"Nikita","1953","Delete"
"Nilima","2102","Delete"
"Nimona","1727","Delete"
"Nina","329","Delete"
"ninaya","1131","Delete"
"Ninisina","1963","Delete"
"Nissa","2095","Delete"
"Noa","1967","Delete"
"Noa","466","Delete"
"Noadiah","1966","Delete"
"Noah","876","Delete"
"Nobuko","1739","Delete"
"Noel","1741","Delete"
"Noelani","1970","Delete"
"Noéle","1878","Delete"
"Noëlle","1879","Delete"
"Noelle","210","Delete"
"Noemi","781","Delete"
"Noémi","1880","Delete"
"Noemi","1736","Delete"
"Nola","2086","Delete"
"Nonie","2100","Delete"
"Noor","2089","Delete"
"Nora","30","Delete"
"Nora","1951","Delete"
"norah","1133","Delete"
"Norberta","1958","Delete"
"Noreen","1979","Delete"
"Norma","1731","Delete"
"Normina","2087","Delete"
"Nova","38","Delete"
"Nova","1178","Delete"
"Novalee","815","Delete"
"Novalee","1730","Delete"
"novelia","1134","Delete"
"Novella","1718","Delete"
"Noxolo","2084","Delete"
"Noya","2103","Delete"
"Noyabrina","1737","Delete"
"nozelyn","1135","Delete"
"Nunzia","1959","Delete"
"Nydia","1962","Delete"
"Nylah","403","Delete"
"Nymphadora","1971","Delete"
"Nymphaea","1616","Delete"
"Nymphaea","1717","Delete"
"Nymphie","2075","Delete"
"Nyomi","970","Delete"
"Nyx","1954","Delete"
"Oaklee","620","Delete"
"Oakleigh","860","Delete"
"Oakley","281","Delete"
"Oaklyn","566","Delete"
"Oaklynn","307","Delete"
"Océane","1881","Delete"
"Octavia","335","Delete"
"Odette","1068","Delete"
"Odette","1882","Delete"
"Olive","197","Delete"
"Olivia","1046","Delete"
"Olympia","1314","Delete"
"Olympia","1915","Delete"
"Ophelia","1047","Delete"
"Ophelia","1318","Delete"
"Ophelia","1070","Delete"
"Ophelia","391","Delete"
"Orchid","1609","Delete"
"Orianne","1886","Delete"
"Otellia","1346","Delete"
"Ottilie","1024","Delete"
"Paislee","378","Delete"
"Paisleigh","863","Delete"
"Paisley","50","Delete"
"Paityn","984","Delete"
"Palmer","347","Delete"
"Paloma","940","Delete"
"Pandora","1292","Delete"
"Paola","955","Delete"
"Paris","419","Delete"
"Parker","128","Delete"
"Paula","822","Delete"
"Paulina","826","Delete"
"Paulina","1263","Delete"
"Payton","218","Delete"
"Penelope","1025","Delete"
"Penelope","25","Delete"
"Penelope","1180","Delete"
"Penny","727","Delete"
"Periwinkle","1855","Delete"
"Persicaria","1592","Delete"
"Petal","1615","Delete"
"Petroula","1918","Delete"
"Peyton","98","Delete"
"Phoenix","286","Delete"
"Pinelopi","1919","Delete"
"Piper","91","Delete"
"Piper","1409","Delete"
"Piper","1215","Delete"
"Polina","1920","Delete"
"Polly","1280","Delete"
"Poppy","1542","Delete"
"Poppy","1857","Delete"
"Poppy","1181","Delete"
"Poppy","462","Delete"
"Porridge","1858","Delete"
"Posy","1580","Delete"
"Primrose","1566","Delete"
"Primrose","1856","Delete"
"Princess","797","Delete"
"Priscilla","562","Delete"
"Prona","2147","Delete"
"Prudence","1890","Delete"
"Prunella","1570","Delete"
"Queen","967","Delete"
"Queenie","1859","Delete"
"Quinn","1216","Delete"
"Rachelle","1891","Delete"
"Raelynn","104","Delete"
"Raina","809","Delete"
"Ramona","816","Delete"
"Ramona","1261","Delete"
"Raquel","933","Delete"
"Raven","1420","Delete"
"Raven","418","Delete"
"Ravenna","1425","Delete"
"Raya","937","Delete"
"Rayna","1382","Delete"
"Rayna","702","Delete"
"Rayne","775","Delete"
"Reagan","114","Delete"
"Rébecca","1892","Delete"
"Rebecca","250","Delete"
"Regina","432","Delete"
"Reign","356","Delete"
"Reina","590","Delete"
"Reina","1259","Delete"
"Remi","125","Delete"
"Remington","360","Delete"
"Remy","1372","Delete"
"Renata","512","Delete"
"Renée","1893","Delete"
"Reyna","594","Delete"
"Rhea","628","Delete"
"Rhoda","1291","Delete"
"Rielle","1385","Delete"
"Rivka","805","Delete"
"Robin","904","Delete"
"Rocio","1250","Delete"
"Rosalie","1026","Delete"
"Rosalie","1282","Delete"
"Rosalie","198","Delete"
"Rosalind","1079","Delete"
"Rosaline","1071","Delete"
"Roseline","1896","Delete"
"Roselyn","723","Delete"
"Rosemary","1586","Delete"
"Rosette","1897","Delete"
"Rosie","470","Delete"
"Rowan","1417","Delete"
"Rowan","255","Delete"
"Roxann","1898","Delete"
"Royalty","393","Delete"
"Ruby","74","Delete"
"Ruth","220","Delete"
"Rylie","355","Delete"
"Sabrina","389","Delete"
"Sadie","78","Delete"
"Saelah","1383","Delete"
"Saige","1353","Delete"
"Saige","595","Delete"
"Salem","607","Delete"
"Samantha","90","Delete"
"Saoirse","741","Delete"
"Sarai","472","Delete"
"Savanna","640","Delete"
"Sawyer","238","Delete"
"Scarlet","1386","Delete"
"Scarlet","446","Delete"
"Scarlett","21","Delete"
"Scarlett","1072","Delete"
"Scout","874","Delete"
"Selena","1222","Delete"
"Selene","800","Delete"
"Selini","1922","Delete"
"Senna","1610","Delete"
"Seraphina","1300","Delete"
"Seraphina","1080","Delete"
"Serena","421","Delete"
"Serenity","70","Delete"
"Shelby","502","Delete"
"Shiloh","454","Delete"
"Shortcake","1861","Delete"
"Siena","634","Delete"
"Sienna","1183","Delete"
"Sierra","540","Delete"
"Sierra","1269","Delete"
"Silene","1611","Delete"
"Sky","801","Delete"
"Skyla","633","Delete"
"Skyler","465","Delete"
"Slipper","1863","Delete"
"Sloan","663","Delete"
"Sloane","181","Delete"
"Sloane","1218","Delete"
"Sofia","17","Delete"
"Sol","1247","Delete"
"Sophia","1073","Delete"
"Sophia","1184","Delete"
"Sophie","75","Delete"
"Sorrel","1588","Delete"
"Stella","42","Delete"
"Stella","1219","Delete"
"Stellaria","1600","Delete"
"Stephanie","437","Delete"
"Stevie","410","Delete"
"Sugarplum","1864","Delete"
"Sutton","323","Delete"
"Suzette","1338","Delete"
"Swannie","1865","Delete"
"Sydney","243","Delete"
"Sylvie","776","Delete"
"Tabitha","1051","Delete"
"Tabitha","1074","Delete"
"Talia","337","Delete"
"Tansy","1556","Delete"
"Tatum","343","Delete"
"Taylor","161","Delete"
"Temperance","1349","Delete"
"Tempest","1384","Delete"
"Teresa","746","Delete"
"Teresa","1265","Delete"
"Thalia","803","Delete"
"Thea","1185","Delete"
"Theodora","834","Delete"
"Thomasina","1286","Delete"
"Thumbelina","1868","Delete"
"Tiffany","792","Delete"
"Tinsley","715","Delete"
"Tiptoe","1867","Delete"
"Treasure","729","Delete"
"Trillium","1596","Delete"
"Tulip","1546","Delete"
"Vada","817","Delete"
"Valentina","1082","Delete"
"Valentine","1295","Delete"
"Valeria","1056","Delete"
"Valeria","150","Delete"
"Valerian","1619","Delete"
"Valerie","1352","Delete"
"Valerie","145","Delete"
"Veda","938","Delete"
"Velvet","1871","Delete"
"Verbena","1311","Delete"
"Verbena","1593","Delete"
"Veronica","380","Delete"
"Vervain","1579","Delete"
"Victoria","34","Delete"
"Victoria","1083","Delete"
"Violeta","891","Delete"
"Violetta","1077","Delete"
"Violette","982","Delete"
"Virginia","580","Delete"
"Virginia","1362","Delete"
"Vivian","1339","Delete"
"Vivian/Vivianne Wil","1186","Delete"
"Viviana","404","Delete"
"Waverly","738","Delete"
"Whisper","1874","Delete"
"Whitley","942","Delete"
"Willa","349","Delete"
"Willamina","1303","Delete"
"Willow","48","Delete"
"Winnie","770","Delete"
"Winsome","1873","Delete"
"Wisteria","1607","Delete"
"Wren","361","Delete"
"Wren","1401","Delete"
"Xiomara","606","Delete"
"Xiomara","1231","Delete"
"Yamileth","988","Delete"
"Yara","651","Delete"
"Yareli","846","Delete"
"Yaretzi","505","Delete"
"Zahra","589","Delete"
"Zainab","959","Delete"
"Zaniyah","730","Delete"
"Zariyah","697","Delete"
"Zaylee","661","Delete"
"Zelda","559","Delete"
"Zhuri","991","Delete"
"Zillah","1330","Delete"
"Zinnia","1559","Delete"
"Zoey","32","Delete"
"Zora","877","Delete"
"Zorah","1373","Delete"
"Норе","1434","Delete"
